module,GO_BP_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway,9_Level_Pathway,10_Level_Pathway,11_Level_Pathway
K1_cpdb_532,GO:0031346,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, positive regulation of biological process","regulation of cellular component organization, positive regulation of cellular process","positive regulation of cellular component organization, regulation of cell projection organization",,,,,,
K1_cpdb_533,GO:0048013,biological_process,"cellular process, biological regulation","signal transduction, regulation of biological process","cell surface receptor signaling pathway, regulation of cellular process",enzyme-linked receptor protein signaling pathway,cell surface receptor protein tyrosine kinase signaling pathway,,,,,,
K1_cpdb_537,GO:0030177,biological_process,biological regulation,regulation of biological process,"regulation of signaling, positive regulation of biological process, regulation of cellular process, regulation of response to stimulus","positive regulation of signaling, positive regulation of response to stimulus, regulation of cell communication, regulation of signal transduction, positive regulation of cellular process","regulation of Wnt signaling pathway, positive regulation of signal transduction, positive regulation of cell communication",,,,,,
K1_cpdb_548,GO:1902455,biological_process,biological regulation,regulation of biological process,"regulation of multicellular organismal process, negative regulation of biological process, regulation of developmental process","regulation of stem cell population maintenance, negative regulation of developmental process, negative regulation of multicellular organismal process",,,,,,,
K1_cpdb_549,GO:0000122,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, negative regulation of biological process","negative regulation of cellular process, regulation of metabolic process","regulation of primary metabolic process, regulation of macromolecule metabolic process, regulation of biosynthetic process, negative regulation of metabolic process","negative regulation of biosynthetic process, regulation of nucleobase-containing compound metabolic process, regulation of RNA metabolic process, negative regulation of macromolecule metabolic process, negative regulation of nucleobase-containing compound metabolic process, regulation of macromolecule biosynthetic process","negative regulation of macromolecule biosynthetic process, negative regulation of RNA metabolic process, regulation of gene expression, regulation of RNA biosynthetic process","negative regulation of RNA biosynthetic process, regulation of DNA-templated transcription","negative regulation of DNA-templated transcription, regulation of transcription by RNA polymerase II",,
K1_cpdb_550,GO:2000819,biological_process,biological regulation,regulation of biological process,"regulation of cellular process, regulation of response to stimulus","regulation of cellular response to stress, regulation of response to stress, regulation of metabolic process","regulation of primary metabolic process, regulation of DNA repair, regulation of macromolecule metabolic process","regulation of DNA metabolic process, regulation of nucleobase-containing compound metabolic process",,,,,
K1_cpdb_551,GO:0009753,biological_process,response to stimulus,"response to chemical, response to endogenous stimulus","response to hormone, response to oxygen-containing compound, response to lipid",response to fatty acid,,,,,,,
K1_cpdb_574,GO:0000045,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"cellular component assembly, organelle organization","organelle assembly, vacuole organization",autophagosome organization,,,,,
K1_cpdb_582,GO:0044782,biological_process,cellular process,cellular component organization or biogenesis,cellular component organization,"organelle organization, cell projection organization",plasma membrane bounded cell projection organization,,,,,,
K1_cpdb_583,GO:0007098,biological_process,cellular process,"cell cycle process, cellular component organization or biogenesis, microtubule-based process","cellular component organization, microtubule organizing center organization",,,,,,,,
K1_cpdb_587,GO:0018149,biological_process,cellular process,metabolic process,"primary metabolic process, macromolecule metabolic process","macromolecule modification, protein metabolic process",protein modification process,,,,,,
K1_cpdb_588,GO:0009116,biological_process,cellular process,metabolic process,"primary metabolic process, carbohydrate derivative metabolic process, small molecule metabolic process","nucleobase-containing small molecule metabolic process, nucleobase-containing compound metabolic process, glycosyl compound metabolic process",,,,,,,
K1_cpdb_596,GO:0006897,biological_process,"localization, cellular process","vesicle-mediated transport, establishment of localization",transport,import into cell,,,,,,,
K1_cpdb_598,GO:0051169,biological_process,"localization, cellular process","cellular localization, establishment of localization","intracellular transport, transport, establishment of localization in cell",,,,,,,,
