module,REAC_ID,0_Level_Pathway,1_Level_Pathway,2_Level_Pathway,3_Level_Pathway,4_Level_Pathway,5_Level_Pathway,6_Level_Pathway,7_Level_Pathway,8_Level_Pathway
K1_cpdb_847,R-HSA-9709603,Disease,Diseases of DNA repair,Diseases of DNA Double-Strand Break Repair,Defective homologous recombination repair (HRR) due to BRCA2 loss of function,Impaired BRCA2 binding to PALB2,,,,
K1_cpdb_848,R-HSA-3371511,Cellular responses to stimuli,Cellular responses to stress,Cellular response to heat stress,HSF1 activation,,,,,
K1_cpdb_856,R-HSA-5627123,Signal Transduction,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signaling by Rho GTPases,RHO GTPase Effectors,RHO GTPases activate PAKs,,,,
K1_cpdb_858,R-HSA-9675135,Disease,Diseases of DNA repair,,,,,,,
K1_cpdb_859,R-HSA-174417,Cell Cycle,Chromosome Maintenance,Telomere Maintenance,Extension of Telomeres,Telomere C-strand (Lagging Strand) Synthesis,,,,
K1_cpdb_860,R-HSA-68689,DNA Replication,DNA Replication Pre-Initiation,Assembly of the pre-replicative complex,CDC6 association with the ORC:origin complex,,,,,
K1_cpdb_866,R-HSA-419812,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class B/2 (Secretin family receptors),Calcitonin-like ligand receptors,,,,
K1_cpdb_871,R-HSA-3108214,Metabolism of proteins,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA damage response and repair proteins,,,,
K1_cpdb_874,R-HSA-8951664,Metabolism of proteins,Post-translational protein modification,Neddylation,,,,,,
K1_cpdb_877,R-HSA-167160,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,Transcription of the HIV genome,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection,
K1_cpdb_881,R-HSA-73894,DNA Repair,,,,,,,,
K1_cpdb_882,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
K1_cpdb_883,R-HSA-8951664,Metabolism of proteins,Post-translational protein modification,Neddylation,,,,,,
K1_cpdb_884,R-HSA-8951664,Metabolism of proteins,Post-translational protein modification,Neddylation,,,,,,
K1_humanbase_19,R-HSA-9752946,Sensory Perception,Olfactory Signaling Pathway,Expression and translocation of olfactory receptors,,,,,,
K1_humanbase_21,R-HSA-1296072,Neuronal System,Potassium Channels,Voltage gated Potassium channels,,,,,,
K1_humanbase_23,R-HSA-73728,Gene expression (Transcription),RNA Polymerase I Transcription,RNA Polymerase I Promoter Clearance,RNA Polymerase I Promoter Opening,,,,,
K1_humanbase_29,R-HSA-442660,Transport of small molecules,SLC-mediated transmembrane transport,"Transport of bile salts and organic acids, metal ions and amine compounds",Na+/Cl- dependent neurotransmitter transporters,,,,,
K1_humanbase_34,R-HSA-211999,Metabolism,Biological oxidations,Phase I - Functionalization of compounds,Cytochrome P450 - arranged by substrate type,Xenobiotics,CYP2E1 reactions,,,
K1_humanbase_41,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_humanbase_71,R-HSA-73886,Cell Cycle,Chromosome Maintenance,,,,,,,
K1_humanbase_83,R-HSA-68962,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G1 phase and G1/S transition,G1/S Transition,Activation of the pre-replicative complex,,,,
K1_humanbase_91,R-HSA-156842,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,,,,,,
K1_humanbase_92,R-HSA-156902,Metabolism of proteins,Translation,Eukaryotic Translation Elongation,Peptide chain elongation,,,,,
K1_humanbase_99,R-HSA-909733,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,,,,,
K1_humanbase_100,R-HSA-909733,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,,,,,
K1_humanbase_138,R-HSA-156590,Metabolism,Biological oxidations,Phase II - Conjugation of compounds,Glutathione conjugation,,,,,
K1_humanbase_146,R-HSA-948021,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,,,,,
K1_humanbase_163,R-HSA-69620,Cell Cycle,Cell Cycle Checkpoints,,,,,,,
K1_humanbase_164,R-HSA-69242,Cell Cycle,"Cell Cycle, Mitotic",S Phase,,,,,,
K1_humanbase_186,R-HSA-917977,Transport of small molecules,Iron uptake and transport,Transferrin endocytosis and recycling,,,,,,
K1_humanbase_192,R-HSA-1428517,Metabolism,Aerobic respiration and respiratory electron transport,,,,,,,
K1_humanbase_193,R-HSA-1428517,Metabolism,Aerobic respiration and respiratory electron transport,,,,,,,
K1_humanbase_196,R-HSA-6783783,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-10 signaling,,,,,
K1_humanbase_206,R-HSA-1236978,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing-Cross presentation,Cross-presentation of soluble exogenous antigens (endosomes),,,,
K1_humanbase_212,R-HSA-450294,Immune System,Cytokine Signaling in Immune system,Signaling by Interleukins,Interleukin-17 signaling,MAP kinase activation,,,,
K1_humanbase_224,R-HSA-72203,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,,,,,,,
K1_humanbase_226,R-HSA-5419276,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation termination,,,,,
K1_humanbase_233,R-HSA-909733,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,,,,,
K1_humanbase_255,R-HSA-1679131,Immune System,Innate Immune System,Toll-like Receptor Cascades,Trafficking and processing of endosomal TLR,,,,,
K1_humanbase_265,R-HSA-167162,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,Transcription of the HIV genome,RNA Polymerase II HIV Promoter Escape,
K1_humanbase_281,R-HSA-6798695,Immune System,Innate Immune System,Neutrophil degranulation,,,,,,
K1_humanbase_300,R-HSA-6811434,Vesicle-mediated transport,Membrane Trafficking,Intra-Golgi and retrograde Golgi-to-ER traffic,Golgi-to-ER retrograde transport,COPI-dependent Golgi-to-ER retrograde traffic,,,,
K1_humanbase_305,R-HSA-1632852,Autophagy,Macroautophagy,,,,,,,
K1_humanbase_312,R-HSA-5368286,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation initiation,,,,,
K1_humanbase_313,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_humanbase_322,R-HSA-611105,Metabolism,Aerobic respiration and respiratory electron transport,Respiratory electron transport,,,,,,
K1_humanbase_323,R-HSA-1428517,Metabolism,Aerobic respiration and respiratory electron transport,,,,,,,
K1_humanbase_329,R-HSA-1474244,Extracellular matrix organization,,,,,,,,
K1_humanbase_330,R-HSA-3000178,Extracellular matrix organization,ECM proteoglycans,,,,,,,
K1_humanbase_331,R-HSA-8957275,Metabolism of proteins,Post-translational protein modification,Post-translational protein phosphorylation,,,,,,
K1_humanbase_334,R-HSA-198933,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,,,,,
K1_humanbase_343,R-HSA-72203,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,,,,,,,
K1_humanbase_344,R-HSA-6804756,Gene expression (Transcription),RNA Polymerase II Transcription,Generic Transcription Pathway,Transcriptional Regulation by TP53,Regulation of TP53 Activity,Regulation of TP53 Activity through Phosphorylation,,,
K1_humanbase_348,R-HSA-5389840,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation elongation,,,,,
K1_humanbase_349,R-HSA-1428517,Metabolism,Aerobic respiration and respiratory electron transport,,,,,,,
K1_humanbase_350,R-HSA-198933,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,,,,,
K1_humanbase_351,R-HSA-198933,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,,,,,
K1_humanbase_352,R-HSA-9031628,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Nuclear Events (kinase and transcription factor activation),NGF-stimulated transcription,,,
K1_humanbase_353,R-HSA-198725,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by NTRKs,Signaling by NTRK1 (TRKA),Nuclear Events (kinase and transcription factor activation),,,,
K1_humanbase_368,R-HSA-6783310,DNA Repair,Fanconi Anemia Pathway,,,,,,,
K1_humanbase_388,R-HSA-877300,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon gamma signaling,,,,,
K1_humanbase_396,R-HSA-162599,Disease,Infectious disease,Viral Infection Pathways,HIV Infection,HIV Life Cycle,Late Phase of HIV Life Cycle,,,
K1_humanbase_407,R-HSA-72203,Metabolism of RNA,Processing of Capped Intron-Containing Pre-mRNA,,,,,,,
K1_humanbase_416,R-HSA-9843745,Developmental Biology,Adipogenesis,,,,,,,
K1_humanbase_478,R-HSA-5419276,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation termination,,,,,
K1_humanbase_521,R-HSA-1660517,Metabolism,Metabolism of lipids,Phospholipid metabolism,PI Metabolism,Synthesis of PIPs at the late endosome membrane,,,,
K1_humanbase_538,R-HSA-1482788,Metabolism,Metabolism of lipids,Phospholipid metabolism,Glycerophospholipid biosynthesis,Acyl chain remodelling of PC,,,,
K1_string_1,R-HSA-72695,Metabolism of proteins,Translation,Eukaryotic Translation Initiation,Cap-dependent Translation Initiation,"Formation of the ternary complex, and subsequently, the 43S complex",,,,
K1_string_2,R-HSA-5576886,Muscle contraction,Cardiac conduction,Phase 4 - resting membrane potential,,,,,,
K1_string_4,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_string_8,R-HSA-156588,Metabolism,Biological oxidations,Phase II - Conjugation of compounds,Glucuronidation,,,,,
K1_string_9,R-HSA-5620912,Organelle biogenesis and maintenance,Cilium Assembly,Anchoring of the basal body to the plasma membrane,,,,,,
K1_string_11,R-HSA-420029,Cell-Cell communication,Cell junction organization,Cell-cell junction organization,Tight junction interactions,,,,,
K1_string_12,R-HSA-156590,Metabolism,Biological oxidations,Phase II - Conjugation of compounds,Glutathione conjugation,,,,,
K1_string_14,R-HSA-112314,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,,,,,,
K1_string_15,R-HSA-5389840,Metabolism of proteins,Translation,Mitochondrial translation,Mitochondrial translation elongation,,,,,
K1_string_17,R-HSA-1483206,Metabolism,Metabolism of lipids,Phospholipid metabolism,Glycerophospholipid biosynthesis,,,,,
K1_string_18,R-HSA-6799198,Metabolism,Aerobic respiration and respiratory electron transport,Respiratory electron transport,Complex I biogenesis,,,,,
K1_string_19,R-HSA-913709,Metabolism of proteins,Post-translational protein modification,O-linked glycosylation,O-linked glycosylation of mucins,,,,,
K1_string_20,R-HSA-73614,Metabolism,Metabolism of nucleotides,Nucleotide salvage,Pyrimidine salvage,,,,,
K1_string_21,R-HSA-8963899,Transport of small molecules,"Plasma lipoprotein assembly, remodeling, and clearance",Plasma lipoprotein remodeling,,,,,,
K1_string_22,R-HSA-1300642,Reproduction,Fertilization,Sperm Motility And Taxes,,,,,,
K1_string_23,R-HSA-3238698,Signal Transduction,Signaling by WNT,WNT ligand biogenesis and trafficking,,,,,,
K1_string_24,R-HSA-611105,Metabolism,Aerobic respiration and respiratory electron transport,Respiratory electron transport,,,,,,
K1_string_27,R-HSA-3656243,Disease,Diseases of metabolism,Diseases of glycosylation,Diseases associated with glycosaminoglycan metabolism,Defective ST3GAL3 causes MCT12 and EIEE15,,,,
K1_string_28,R-HSA-6790901,Metabolism of RNA,rRNA processing,rRNA processing in the nucleus and cytosol,rRNA modification in the nucleus and cytosol,,,,,
K1_string_29,R-HSA-9037629,Metabolism,Metabolism of carbohydrates,Blood group systems biosynthesis,Lewis blood group biosynthesis,,,,,
K1_string_30,R-HSA-190861,Vesicle-mediated transport,Membrane Trafficking,Gap junction trafficking and regulation,Gap junction trafficking,Gap junction assembly,,,,
K1_string_31,R-HSA-199992,Vesicle-mediated transport,Membrane Trafficking,trans-Golgi Network Vesicle Budding,,,,,,
K1_string_32,R-HSA-5619507,Developmental Biology,Activation of HOX genes during differentiation,,,,,,,
K1_string_33,R-HSA-936837,Transport of small molecules,Ion channel transport,Ion transport by P-type ATPases,,,,,,
K1_string_34,R-HSA-381340,Developmental Biology,Adipogenesis,Transcriptional regulation of white adipocyte differentiation,,,,,,
K1_string_35,R-HSA-1482788,Metabolism,Metabolism of lipids,Phospholipid metabolism,Glycerophospholipid biosynthesis,Acyl chain remodelling of PC,,,,
K1_string_36,R-HSA-77387,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by Insulin receptor,Insulin receptor recycling,,,,,
K1_string_37,R-HSA-181431,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter receptors and postsynaptic signal transmission,Acetylcholine binding and downstream events,,,,,
K1_string_38,R-HSA-912694,Immune System,Cytokine Signaling in Immune system,Interferon Signaling,Interferon alpha/beta signaling,Regulation of IFNA/IFNB signaling,,,,
K1_string_39,R-HSA-1650814,Extracellular matrix organization,Collagen formation,Collagen biosynthesis and modifying enzymes,,,,,,
K1_string_41,R-HSA-5368287,Metabolism of proteins,Translation,Mitochondrial translation,,,,,,
K1_string_42,R-HSA-5689880,Metabolism of proteins,Post-translational protein modification,Deubiquitination,Ub-specific processing proteases,,,,,
K1_string_43,R-HSA-8850843,Metabolism,Metabolism of nucleotides,Nucleotide catabolism,Phosphate bond hydrolysis by NTPDase proteins,,,,,
K1_string_44,R-HSA-5620924,Organelle biogenesis and maintenance,Cilium Assembly,Intraflagellar transport,,,,,,
K1_string_45,R-HSA-204005,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,ER to Golgi Anterograde Transport,COPII-mediated vesicle transport,,,
K1_string_46,R-HSA-211897,Metabolism,Biological oxidations,Phase I - Functionalization of compounds,Cytochrome P450 - arranged by substrate type,,,,,
K1_string_47,R-HSA-380108,Signal Transduction,Signaling by GPCR,GPCR ligand binding,Class A/1 (Rhodopsin-like receptors),Peptide ligand-binding receptors,Chemokine receptors bind chemokines,,,
K1_string_48,R-HSA-1855204,Metabolism,Inositol phosphate metabolism,Synthesis of IP3 and IP4 in the cytosol,,,,,,
K1_string_51,R-HSA-1296041,Neuronal System,Potassium Channels,Inwardly rectifying K+ channels,G protein gated Potassium channels,Activation of G protein gated Potassium channels,,,,
K1_string_52,R-HSA-201451,Signal Transduction,Signaling by TGFB family members,Signaling by BMP,,,,,,
K1_string_54,R-HSA-198933,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,,,,,,
K1_string_55,R-HSA-6807878,Metabolism of proteins,Post-translational protein modification,Asparagine N-linked glycosylation,Transport to the Golgi and subsequent modification,ER to Golgi Anterograde Transport,COPI-mediated anterograde transport,,,
K1_string_56,R-HSA-6809371,Developmental Biology,Keratinization,Formation of the cornified envelope,,,,,,
K1_string_57,R-HSA-190241,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Signaling by FGFR,Signaling by FGFR2,FGFR2 ligand binding and activation,,,,
K1_string_59,R-HSA-1296072,Neuronal System,Potassium Channels,Voltage gated Potassium channels,,,,,,
K1_string_60,R-HSA-3000157,Extracellular matrix organization,Laminin interactions,,,,,,,
K1_string_61,R-HSA-1236978,Immune System,Adaptive Immune System,Class I MHC mediated antigen processing & presentation,Antigen processing-Cross presentation,Cross-presentation of soluble exogenous antigens (endosomes),,,,
K1_string_62,R-HSA-141430,Cell Cycle,Cell Cycle Checkpoints,Mitotic Spindle Checkpoint,Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components,Inactivation of APC/C via direct inhibition of the APC/C complex,,,,
K1_string_64,R-HSA-5576892,Muscle contraction,Cardiac conduction,Phase 0 - rapid depolarisation,,,,,,
K1_string_65,R-HSA-606279,Cell Cycle,Chromosome Maintenance,Nucleosome assembly,Deposition of new CENPA-containing nucleosomes at the centromere,,,,,
K1_string_66,R-HSA-72312,Metabolism of RNA,rRNA processing,,,,,,,
K1_string_67,R-HSA-170660,Signal Transduction,Signaling by GPCR,GPCR downstream signalling,G alpha (i) signalling events,Opioid Signalling,G-protein mediated events,Adenylate cyclase activating pathway,,
K1_string_68,R-HSA-5576894,Muscle contraction,Cardiac conduction,Phase 1 - inactivation of fast Na+ channels,,,,,,
K1_string_69,R-HSA-390522,Muscle contraction,Striated Muscle Contraction,,,,,,,
K1_string_70,R-HSA-2122948,Signal Transduction,Signaling by NOTCH,Signaling by NOTCH1,Activated NOTCH1 Transmits Signal to the Nucleus,,,,,
K1_string_73,R-HSA-181429,Neuronal System,Transmission across Chemical Synapses,Neurotransmitter release cycle,Serotonin Neurotransmitter Release Cycle,,,,,
K1_string_78,R-HSA-9730628,Sensory Perception,Sensory perception of taste,Sensory perception of salty taste,,,,,,
K1_string_79,R-HSA-1296346,Neuronal System,Potassium Channels,Tandem pore domain potassium channels,,,,,,
K1_string_84,R-HSA-3214841,Chromatin organization,Chromatin modifying enzymes,PKMTs methylate histone lysines,,,,,,
K1_string_85,R-HSA-5669034,Immune System,Cytokine Signaling in Immune system,TNFR2 non-canonical NF-kB pathway,TNFs bind their physiological receptors,,,,,
K1_string_95,R-HSA-380270,Cell Cycle,"Cell Cycle, Mitotic",Mitotic G2-G2/M phases,G2/M Transition,Centrosome maturation,Recruitment of mitotic centrosome proteins and complexes,,,
K1_string_106,R-HSA-6802952,Disease,Diseases of signal transduction by growth factor receptors and second messengers,Oncogenic MAPK signaling,Signaling by BRAF and RAF1 fusions,,,,,
K1_string_119,R-HSA-9630750,Disease,Diseases of cellular response to stress,Diseases of Cellular Senescence,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,,,,,
K1_string_134,R-HSA-75876,Metabolism,Metabolism of lipids,Fatty acid metabolism,Fatty acyl-CoA biosynthesis,Synthesis of very long-chain fatty acyl-CoAs,,,,
K1_string_135,R-HSA-1663150,Metabolism of proteins,Post-translational protein modification,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",The activation of arylsulfatases,,,,,
